구,동,단지명,지번주소,도로명주소,지상층(고),동수,세대수,관리사무소,데이터기준일자
분당구,구미동,까치마을건영빌라5단지,성남시 분당구 구미동 12,"경기도 성남시 분당구 미금일로 136 (구미동, 까치마을건영빌라)",4,9,208,031-717-0912,2024-07-05
분당구,구미동,"까치마을건영빌라3,6단지",성남시 분당구 구미동 13,"경기도 성남시 분당구 미금일로 122 (구미동, 까치마을건영빌라)",4,16,332,031-716-1021,2024-07-05
분당구,구미동,까치마을4단지롯데선경,성남시 분당구 구미동 63,"경기도 성남시 분당구 미금일로 58 (구미동, 까치마을)",22,16,1124,031-715-6697,2024-07-05
분당구,구미동,하얀마을그랜드빌라,성남시 분당구 구미동 111,"경기도 성남시 분당구 미금로 114 (구미동, 하얀마을그랜드빌)",4,37,324,031-717-4553,2024-07-05
분당구,구미동,하얀마을 화이트빌,성남시 분당구 구미동 121,"경기도 성남시 분당구 금곡로 39 (구미동, 화이트빌)",4,18,192,031-716-0407,2024-07-05
분당구,구미동,까치마을신원,성남시 분당구 구미동 66,"경기도 성남시 분당구 미금로 177 (구미동, 까치마을)",25,14,882,031-715-3339,2024-07-05
분당구,구미동,까치마을1단지대우,성남시 분당구 구미동 77,"경기도 성남시 분당구 미금로 184 (구미동, 까치마을)",25,16,976,031-715-6278,2024-07-05
분당구,구미동,까치마을주공2단지,성남시 분당구 구미동 88,"경기도 성남시 분당구 미금일로 22 (구미동, 까치마을)",25,9,768,031-715-0403,2024-07-05
분당구,구미동,하얀마을 주공5단지,성남시 분당구 구미동 110,"경기도 성남시 분당구 미금일로 21 (구미동, 하얀마을)",21,7,779,031-717-3403,2024-07-05
분당구,구미동,하얀마을 주공6단지,성남시 분당구 구미동 112,"경기도 성남시 분당구 미금일로 57 (구미동, 하얀마을주공6단지아파트)",21,14,1489,031-717-1216,2024-07-05
분당구,구미동,무지개마을신한건영,성남시 분당구 구미동 201,경기도 성남시 분당구 미금로 63 (구미동),20,12,964,031-715-3594,2024-07-05
분당구,구미동,무지개마을LG,성남시 분당구 구미동 202,"경기도 성남시 분당구 구미로 50 (구미동, 무지개마을)",20,14,888,031-717-0903,2024-07-05
분당구,구미동,무지개마을대림,성남시 분당구 구미동 211,"경기도 성남시 분당구 미금로 23 (구미동, 무지개마을)",27,11,778,031-718-2137,2024-07-05
분당구,구미동,무지개마을주공12단지,성남시 분당구 구미동 212,"경기도 성남시 분당구 미금로22번길 10 (구미동, 무지개마을)",25,9,905,031-715-2283,2024-07-05
분당구,구미동,무지개마을금강,성남시 분당구 구미동 213,경기도 성남시 분당구 미금로22번길 9 (구미동),19,3,216,031-717-4609,2024-07-05
분당구,구미동,무지개마을주공4단지,성남시 분당구 구미동 220,"경기도 성남시 분당구 미금로 66 (구미동, 무지개마을)",25,5,563,031-717-1467,2024-07-05
분당구,구미동,무지개마을청구,성남시 분당구 구미동 221,"경기도 성남시 분당구 무지개로 144 (구미동, 무지개마을)",23,13,932,031-718-0735,2024-07-05
분당구,구미동,무지개마을삼성건영,성남시 분당구 구미동 222,"경기도 성남시 분당구 구미로 100 (구미동, 무지개마을건영,삼성아파트)",19,8,498,031-717-5244,2024-07-05
분당구,구미동,무지개마을건영6단지(건영3차),성남시 분당구 구미동 225,"경기도 성남시 분당구 구미로 115 (구미동, 무지개마을)",16,4,208,031-717-4847,2024-07-05
분당구,구미동,무지개마을라이프,성남시 분당구 구미동 242,"경기도 성남시 분당구 구미로 143 (구미동, 무지개마을라이프아파트)",19,4,222,031-717-8621,2024-07-05
분당구,구미동,무지개마을제일,성남시 분당구 구미동 243,"경기도 성남시 분당구 구미로144번길 7 (구미동, 무지개마을제일아파트)",18,3,172,031-715-2939,2024-07-05
분당구,금곡동,청솔마을주공5단지 공무원,성남시 분당구 금곡동 125,"경기도 성남시 분당구 금곡로 263 (금곡동, 청솔마을공무원아파트)",20,8,474,031-714-4069,2024-07-05
분당구,금곡동,청솔마을주공6단지,성남시 분당구 금곡동 126,"경기도 성남시 분당구 미금로 246 (금곡동, 청솔마을주공6단지아파트)",20,9,1250,031-713-1038,2024-07-05
분당구,금곡동,청솔마을동아,성남시 분당구 금곡동 132,"경기도 성남시 분당구 금곡로 233 (금곡동, 청솔마을)",18,4,204,031-712-7201,2024-07-05
분당구,금곡동,청솔마을주공9단지,성남시 분당구 금곡동 133,"경기도 성남시 분당구 금곡로 233 (금곡동, 청솔마을)",20,6,1020,031-717-6261,2024-07-05
분당구,금곡동,청솔마을대원,성남시 분당구 금곡동 141,"경기도 성남시 분당구 미금로 215 (금곡동, 청솔마을)",25,14,820,031-713-1379,2024-07-05
분당구,금곡동,청솔마을성원,성남시 분당구 금곡동 143,"경기도 성남시 분당구 미금로 251 (금곡동, 청솔마을)",25,9,454,031-713-8476,2024-07-05
분당구,금곡동,청솔마을계룡,성남시 분당구 금곡동 176,경기도 성남시 분당구 정자일로 30 (금곡동),24,6,492,031-719-1351,2024-07-05
분당구,금곡동,청솔마을서광영남,성남시 분당구 금곡동 177,"경기도 성남시 분당구 성남대로171번길 8 (금곡동, 청솔마을)",21,6,408,031-718-2555,2024-07-05
분당구,금곡동,청솔마을화인,성남시 분당구 금곡동 180,"경기도 성남시 분당구 정자일로 46 (금곡동, 청솔마을화인아파트)",25,8,624,031-716-9155,2024-07-05
분당구,금곡동,청솔마을한라,성남시 분당구 금곡동 181,"경기도 성남시 분당구 정자일로 72 (금곡동, 청솔마을한라아파트)",22,10,768,031-714-8955,2024-07-05
분당구,금곡동,분당 두산위브 트레지움,성남시 분당구 금곡동 192,"경기도 성남시 분당구 정자일로 55 (금곡동, 분당두산위브아파트)",20,9,656,031-713-9929,2024-07-05
분당구,금곡동,코오롱더프라우,성남시 분당구 금곡동 201,"경기도 성남시 분당구 정자일로 27 (금곡동, 코오롱더프라우아파트)",33,1,164,031-726-3843,2024-07-05
분당구,금곡동,분당하우스토리,성남시 분당구 금곡동 202,"경기도 성남시 분당구 정자일로 15 (금곡동, 분당하우스토리)",20,3,212,031-718-8131,2024-07-05
분당구,대장동,판교퍼스트힐푸르지오 1단지,성남시 분당구 대장동 50,경기도 성남시 분당구 판교대장로7길 69 (대장동),20,10,529,031-726-0529,2024-07-05
분당구,대장동,판교퍼스트힐푸르지오 2단지,성남시 분당구 대장동 54,경기도 성남시 분당구 판교대장로7길 57 (대장동),20,8,445,031-726-0445,2024-07-05
분당구,대장동,더샵판교포레스트12단지,성남시 분당구 대장동 287,경기도 성남시 분당구 판교대장로5길 30 (대장동),20,9,542,031-719-9566,2024-07-05
분당구,대장동,판교풍경채어바니티5단지아파트,성남시 분당구 대장동 299,경기도 성남시 분당구 판교대장로5길 20 (대장동),20,8,589,031-711-2008,2024-07-05
분당구,대장동,더샵판교포레스트11단지,성남시 분당구 대장동 181-1,경기도 성남시 분당구 판교대장로5길 58 (대장동),20,7,448,031-719-9605,2024-07-05
분당구,대장동,힐스테이트 판교 엘포레 4단지,성남시 분당구 대장동 260-3,경기도 성남시 분당구 판교대장로5길 19 (대장동),20,5,251,031-712-7392,2024-07-05
분당구,대장동,힐스테이트 판교 엘포레 6단지,성남시 분당구 대장동 산19-2,경기도 성남시 분당구 판교대장로7길 16 (대장동),20,8,464,031-713-7392,2024-07-05
분당구,대장동,판교 풍경채 어바니티7단지,성남시 분당구 대장동 산27-8,,20,7,444,031-719-9023,2024-07-05
분당구,백현동,더샵판교퍼스트파크,성남시 분당구 백현동 516,경기도 성남시 분당구 판교백현로 38 (백현동),25,15,1223,031-705-6306,2024-07-05
분당구,백현동,백현마을9단지,성남시 분당구 백현동 525,"경기도 성남시 분당구 판교역로 49 (백현동, 백현마을 아파트)",10,15,348,031-8017-3008,2024-07-05
분당구,백현동,알파리움2단지,성남시 분당구 백현동 530,"경기도 성남시 분당구 판교역로 145 (백현동, 알파리움2단지)",20,6,514,031-709-9079,2024-07-05
