시군명,지식산업센터명칭,소재지지번주소,소재지도로명주소,용도지역,건축연면적(제곱미터),입주업체수,비고,데이터기준일
성남시,분당테크노파크,경기도 성남시 분당구 야탑동 145,경기도 성남시 분당구 판교로 697,근린상업,193217,141,공장등록업체수,2025-02-28
성남시,남서울첨단,경기도 성남시 분당구 백현동 404-1,경기도 성남시 분당구 대왕판교로 395번길8,자연녹지,10496,1,공장등록업체수,2025-02-28
성남시,반도아이비밸리,경기도 성남시 수정구 고등동 603,경기도 성남시 수정구 청계산로 686,근린상업,41544,13,공장등록업체수,2025-02-28
성남시,현대지식산업센터,경기도 성남시 수정구 고등동 572,경기도 성남시 수정구 고등로 3,준주거지역,49915,14,공장등록업체수,2025-02-28
성남시,LH기업성장센터,경기도 성남시 수정구 시흥동 294-2,경기도 성남시 수정구 창업로 54,준공업지역,53053,120,,2025-02-28
성남시,경기기업성장센터(GICO),경기도 성남시 수정구 시흥동 293,경기도 성남시 수정구 창업로 42,준공업지역,70628,133,,2025-02-28
성남시,판교이노베이션랩,경기도 성남시 수정구 금토동 411-6,경기도 성남시 수정구 금토로80번길 11,준공업지역,57668,22,,2025-02-28
성남시,글로벌Biz센터(G5-1),경기도 성남시 수정구 시흥동 293외 8필지,경기도 성남시 수정구 창업로 43,복합용지+준주거지역,95588,48,,2025-02-28
성남시,성남글로벌융합센터,경기도 성남시 수정구 시흥동 356,경기도 성남시 수정구 달래내로 46,준공업지역,36617,12,,2025-02-28
성남시,판교IT센터,경기도 성남시 수정구 시흥동 330,경기도 성남시 수정구 창업로40번길 30,준주거지역,38359,21,,2025-02-28
성남시,LH제2기업성장센터,판교제2테크노밸리 E3-1,,준공업지역,25511,0,2026. 12. 준공예정,2025-02-28
성남시,SW드림타운,경기도 성남시 수정구 시흥동 326,경기도 성남시 수정구 창업로40번길 20,준공업지역,18621,12,임시승인,2025-02-28
성남시,SK지식산업센터,경기도 성남시 중원구 상대원동 223-28,경기도 성남시 중원구 갈마치로 234,일반공업,45642,79,,2025-02-28
성남시,중앙인더스피아 1차,경기도 성남시 중원구 상대원동 517-13,경기도 성남시 중원구 둔촌대로 449,일반공업,36541,48,,2025-02-28
성남시,현대I밸리,경기도 성남시 중원구 상대원동 223-12,경기도 성남시 중원구 갈마치로 244번길 31,일반공업,51644,74,,2025-02-28
성남시,중앙인더스피아 2차,경기도 성남시 중원구 상대원동 144-5,경기도 성남시 중원구 사기막골로105번길 25,일반공업,37833,34,,2025-02-28
성남시,노벨테크노타워,경기도 성남시 중원구 상대원동 138-12,경기도 성남시 중원구 갈마치로288번길 24,일반공업,3361,10,,2025-02-28
성남시,벽산테크노피아,경기도 성남시 중원구 상대원동 434-6,경기도 성남시 중원구 둔촌대로 560,일반공업,29866,59,,2025-02-28
성남시,쌍용IT트윈타워 1차(A동),경기도 성남시 중원구 상대원동 442-17,경기도 성남시 중원구 둔촌대로 537,일반공업,29285,66,,2025-02-28
성남시,쌍용IT트윈타워 2차(B동),경기도 성남시 중원구 상대원동 442-5,경기도 성남시 중원구 둔촌대로 531,일반공업,29356,48,,2025-02-28
성남시,포스테크노,경기도 성남시 중원구 상대원동 234-1,경기도 성남시 중원구 순환로 165,일반공업,58911,104,,2025-02-28
성남시,선텍시티,경기도 성남시 중원구 상대원동 513-15,경기도 성남시 중원구 둔촌대로 474,일반공업,59245,73,,2025-02-28
성남시,선일테크노피아,경기도 성남시 중원구 상대원동 440,경기도 성남시 중원구 둔촌대로 555,일반공업,43406,89,,2025-02-28
성남시,금강하이테크밸리,경기도 성남시 중원구 상대원동 133-1,경기도 성남시 중원구 사기막골로 177,일반공업,40208,71,,2025-02-28
성남시,이노트리,경기도 성남시 중원구 상대원동 66-1,경기도 성남시 중원구 순환로 210,준공업지역,8188,2,,2025-02-28
성남시,크란츠테크노,경기도 성남시 중원구 상대원동 5442-1,경기도 성남시 중원구 둔촌대로 388,일반공업,74715,139,,2025-02-28
성남시,시콕스타워,경기도 성남시 중원구 상대원동 513-14,경기도 성남시 중원구 둔촌대로 484,일반공업,57802,110,,2025-02-28
성남시,금강하이테크밸리 2차,경기도 성남시 중원구 상대원동 138-1,경기도 성남시 중원구 사기막골로 159,일반공업,20252,47,,2025-02-28
성남시,선텍시티2차,경기도 성남시 중원구 상대원동 307-2,경기도 성남시 중원구 사기막골로 52,일반공업,34613,38,,2025-02-28
성남시,스타우드,경기도 성남시 중원구 상대원동 5439-1,경기도 성남시 중원구 둔촌대로 400,일반공업,19392,20,,2025-02-28
성남시,중앙인더스피아 5차,경기도 성남시 중원구 상대원동 138-6,경기도 성남시 중원구 사기막골로 137,일반공업,37800,35,,2025-02-28
성남시,SK엔테크노파크,경기도 성남시 중원구 상대원동 190-1,경기도 성남시 중원구 사기막골로 124,일반공업,196562,424,,2025-02-28
성남시,우림라이온스밸리 1차,경기도 성남시 중원구 상대원동 311-3,경기도 성남시 중원구 둔촌대로457번길 27,일반공업,65136,113,,2025-02-28
성남시,금강펜테리움IT타워,경기도 성남시 중원구 상대원동 333-7,경기도 성남시 중원구 갈마치로 215,일반공업,99283,112,,2025-02-28
성남시,드림테크노,경기도 성남시 중원구 상대원동 513-22,경기도 성남시 중원구 둔촌대로 464,일반공업,16451,27,,2025-02-28
성남시,우림라이온스밸리 3차,경기도 성남시 중원구 상대원동 5445,경기도 성남시 중원구 둔촌대로388번길 24,일반공업,37582,56,,2025-02-28
성남시,반포테크노피아,경기도 성남시 중원구 상대원동 513-3,경기도 성남시 중원구 갈마치로 186,일반공업,20383,31,,2025-02-28
성남시,중일아인스프라츠 2차,경기도 성남시 중원구 상대원동 138-7,경기도 성남시 중원구 사기막골로 111,일반공업,14848,1,,2025-02-28
성남시,중일아인스프라츠 3차,경기도 성남시 중원구 상대원동 442-13,경기도 성남시 중원구 둔촌대로 519,일반공업,19580,11,,2025-02-28
성남시,우림라이온스밸리 5차,경기도 성남시 중원구 상대원동 144-3,경기도 성남시 중원구 갈마치로 302,일반공업,99470,243,,2025-02-28
성남시,스타타워,경기도 성남시 중원구 상대원동 223-25,경기도 성남시 중원구 사기막골로62번길 37,일반공업,57015,72,,2025-02-28
성남시,한라시그마밸리,경기도 성남시 중원구 상대원동442-2,경기도 성남시 중원구 둔촌대로 545,일반공업,58877,101,,2025-02-28
성남시,우림라이온스밸리 2차,경기도 성남시 중원구 상대원동 146-8,경기도 성남시 중원구 사기막골로45번길 14,일반공업,97706,237,,2025-02-28
