노선번호,구간번호,위치?시점,위치?방향,종류,설치형식,설치일자,비고,공간경도,공간위도
0391,06,11.757,0,2색보행등,측주식,,,,
0391,06,11.757,1,2색보행등,측주식,,,,
0391,06,11.757,1,2색보행등,측주식,,,,
0391,04,0.01,1,3색등,측주식,,,,
0391,04,0.011,0,3색등,측주식,,,,
0391,04,11.67,0,기타,측주식,,3구점멸등,,
0391,04,11.703,0,3색등,측주식,,,,
0391,04,11.706,0,3색등,단주식,,,,
0391,04,11.706,0,2색보행등,측주식,,,,
0391,04,11.716,0,4색등,측주식,,2ea,,
0387,13,0.008,1,3색등,측주식,20190319,3색등,,
0387,13,0.015,0,2색보행등+잔여시간표시기,측주식,20190319,보행등+잔여,,
0387,13,0.016,1,3색등,측주식,20190319,3색등X2,,
0387,13,0.016,1,2색보행등+잔여시간표시기,측주식,20190319,보행등+잔여,,
0387,13,0.018,0,2색보행등+잔여시간표시기,측주식,20190319,보행등+잔여,,
0387,13,0.018,0,3색등,측주식,20190319,3색등X2,,
0387,99,0.166,0,2색보행등,부착식,,2ea,,
0387,99,0.166,0,3색등,측주식,,2ea,,
0387,99,0.167,1,4색등,측주식,,,,
0387,99,0.167,1,2색보행등,부착식,,,,
0387,99,0.18,0,3색등,측주식,,,,
0387,99,0.18,0,2색보행등,부착식,,,,
0387,99,0.196,0,3색등,측주식,,,,
0387,99,0.2,1,4색등,측주식,,2ea,,
0387,99,0.2,1,3색등,측주식,,2ea,,
0387,99,0.323,1,4색등,측주식,,3ea,,
0387,99,0.323,1,2색보행등+잔여시간표시기,부착식,,2ea,,
0387,99,0.326,0,2색보행등+잔여시간표시기,단주식,,,,
0387,99,0.336,0,4색등,측주식,,3ea,,
0387,99,0.336,0,2색보행등+잔여시간표시기,부착식,,,,
0387,99,0.347,1,2색보행등+잔여시간표시기,단주식,,,,
0387,99,0.355,0,4색등,측주식,,2ea,,
0387,99,0.355,0,2색보행등+잔여시간표시기,부착식,,2ea,,
0387,99,0.356,1,4색등,측주식,,2ea,,
0387,99,0.356,1,2색보행등+잔여시간표시기,부착식,,,,
0387,99,0.463,0,3색등,측주식,,2ea,,
0387,99,0.463,0,2색보행등,부착식,,,,
0387,99,0.473,1,4색등,측주식,,2ea,,
0387,99,0.479,0,3색등,측주식,,2ea,,
0387,99,0.479,0,2색보행등,부착식,,2ea,,
0387,99,0.488,1,4색등,측주식,,2ea,,
0387,99,0.488,1,2색보행등,부착식,,,,
0387,05,0.569,0,3색등,측주식,,,,
0387,04,0.58,1,3색등,측주식,,3EA,,
0387,04,0.587,1,3색등,측주식,,2EA,,
0387,04,0.592,0,3색등,측주식,,2EA,,
0387,04,0.605,1,2색보행등,편지식,,,,
0387,04,0.614,0,3색등,측주식,,3EA,,
0387,04,0.614,0,2색보행등,편지식,,,,
0387,99,0.671,1,4색등,측주식,,,,
0387,99,0.671,0,3색등,측주식,,3ea,,
0387,99,0.671,1,3색등,측주식,,,,
0387,99,0.671,0,2색보행등,부착식,,,,
0387,99,0.671,1,2색보행등+잔여시간표시기,부착식,,,,
0387,99,0.671,0,2색보행등+잔여시간표시기,부착식,,,,
0387,99,0.696,1,4색등,측주식,,2ea,,
0387,99,0.701,0,2색보행등,부착식,,,,
0387,99,0.701,0,3색등,측주식,,,,
0387,13,0.76,1,4색등,측주식,20190319,4색등,,
0387,13,0.76,1,2색보행등+잔여시간표시기,측주식,20190319,보행등+잔여,,
0387,13,0.763,0,3색등,측주식,20190319,3색등,,
0387,13,0.763,0,4색등,측주식,20190319,4색등X2,,
0387,13,0.781,0,4색등,측주식,20190319,4색등,,
0387,13,0.781,0,2색보행등+잔여시간표시기,측주식,20190319,보행등+잔여,,
0387,13,0.79,1,4색등,측주식,20190319,4색등X2,,
0387,13,0.79,1,2색보행등+잔여시간표시기,측주식,20190319,보행등+잔여,,
0387,99,0.793,0,2색보행등,부착식,,,,
0387,99,0.793,1,2색보행등,단주식,,,,
0387,99,0.793,0,4색등,측주식,,2ea,,
0387,99,0.799,1,3색등,측주식,,2ea,,
0387,99,0.833,0,3색등,측주식,,2ea,,
0387,99,0.833,0,4색등,측주식,,,,
0387,99,0.834,1,4색등,측주식,,2ea,,
0387,99,0.834,1,3색등,측주식,,,,
0387,99,0.882,0,2색보행등+잔여시간표시기,단주식,,,,
0387,99,0.889,1,2색보행등+잔여시간표시기,부착식,,,,
0387,99,0.889,1,4색등,측주식,,2ea,,
0387,99,0.89,0,3색등,측주식,,3ea,,
0387,99,0.89,0,2색보행등+잔여시간표시기,부착식,,,,
0387,99,0.903,0,2색보행등+잔여시간표시기,단주식,,,,
0387,99,0.905,1,4색등,측주식,,2ea,,
0387,99,0.906,0,3색등,측주식,,2ea,,
0387,04,0.948,1,3색등,측주식,,2EA,,
0387,04,0.948,1,2색보행등+잔여시간표시기,편지식,,,,
0387,04,0.961,0,2색보행등+잔여시간표시기,편지식,,,,
0387,04,0.961,0,3색등,측주식,,2EA,,
0387,99,1.017,0,2색보행등+잔여시간표시기,단주식,,,,
0387,04,1.02,1,4색등,측주식,,2EA,,
0387,04,1.02,1,3색등,측주식,,3EA,,
0387,99,1.024,1,4색등,측주식,,3ea,,
0387,99,1.024,1,3색등,측주식,,,,
0387,99,1.024,1,2색보행등+잔여시간표시기,부착식,,,,
0387,99,1.025,0,2색보행등+잔여시간표시기,부착식,,,,
0387,99,1.025,0,3색등,측주식,,2ea,,
0387,04,1.033,0,3색등,측주식,,2EA,,
0387,04,1.033,0,4색등,측주식,,,,
0387,99,1.045,0,2색보행등+잔여시간표시기,단주식,,,,
0387,99,1.045,1,4색등,측주식,,3ea,,
0387,99,1.045,1,3색등,측주식,,2ea,,
0387,99,1.047,0,3색등,측주식,,2ea,,
0387,04,1.098,1,4색등,측주식,,2EA,,
0387,04,1.098,1,3색등,측주식,,2EA,,
0387,04,1.099,1,2색보행등+잔여시간표시기,편지식,,,,
0387,04,1.107,1,2색보행등+잔여시간표시기,편지식,,,,
0387,04,1.107,1,3색등,측주식,,2EA,,
0387,99,1.134,1,2색보행등+잔여시간표시기,부착식,,2ea,,
0387,99,1.134,1,4색등,측주식,,,,
0387,99,1.134,1,3색등,측주식,,2ea,,
0387,99,1.136,0,4색등,측주식,,2ea,,
0387,04,1.14,1,2색보행등,편지식,,,,
0387,04,1.145,0,3색등,측주식,,,,
0387,04,1.145,0,2색보행등,편지식,,,,
0387,99,1.176,1,2색보행등+잔여시간표시기,부착식,,2ea,,
0387,99,1.176,1,4색등,측주식,,2ea,,
0387,99,1.176,1,3색등,측주식,,,,
0387,99,1.177,0,2색보행등+잔여시간표시기,부착식,,2ea,,
0387,99,1.177,0,4색등,측주식,,,,
0387,99,1.177,0,3색등,측주식,,2ea,,
0387,05,1.222,1,3색등,측주식,,,,
0387,99,1.334,0,4색등,측주식,,3ea,,
0387,99,1.334,0,2색보행등+잔여시간표시기,부착식,,,,
0387,99,1.335,1,2색보행등+잔여시간표시기,부착식,,,,
0387,99,1.335,1,4색등,측주식,,2ea,,
0387,99,1.345,1,2색보행등+잔여시간표시기,부착식,,,,
0387,99,1.345,1,4색등,측주식,,2ea,,
0387,04,1.35,1,2색등,편지식,,2EA,,
0387,99,1.365,1,2색보행등+잔여시간표시기,부착식,,,,
0387,99,1.365,1,4색등,측주식,,2ea,,
0387,99,1.375,0,4색등,측주식,,,,
0387,99,1.375,0,2색보행등+잔여시간표시기,부착식,,,,
0387,99,1.378,1,4색등,측주식,,2ea,,
0387,99,1.378,1,2색보행등+잔여시간표시기,부착식,,,,
0387,99,1.481,1,3색등,측주식,,,,
0387,99,1.501,1,2색보행등+잔여시간표시기,부착식,,,,
0387,99,1.501,1,3색등,측주식,,2ea,,
0387,99,1.502,0,3색등,측주식,,2ea,,
0387,99,1.502,0,2색보행등+잔여시간표시기,부착식,,,,
0387,99,1.631,0,2색보행등+잔여시간표시기,부착식,,,,
0387,99,1.631,0,3색등,측주식,,2ea,,
0387,13,1.634,0,4색등,측주식,20190319,4색등X2,,
0387,13,1.634,0,2색보행등+잔여시간표시기,측주식,20190319,보행등+잔여,,
0387,99,1.637,1,4색등,측주식,,,,
0387,13,1.642,0,2색보행등+잔여시간표시기,측주식,20190319,보행등+잔여,,
0387,13,1.642,0,4색등,측주식,20190319,4색등,,
0387,13,1.643,1,4색등,측주식,20190319,4색등,,
0387,13,1.643,1,2색보행등+잔여시간표시기,측주식,20190319,보행등+잔여,,
0387,13,1.649,1,2색보행등+잔여시간표시기,측주식,20190319,보행등+잔여,,
0387,13,1.657,0,2색보행등+잔여시간표시기,측주식,20190319,보행등+잔여,,
0387,99,1.659,1,3색등,측주식,,2ea,,
0387,99,1.659,0,3색등,측주식,,,,
0387,99,1.659,1,4색등,측주식,,2ea,,
0387,99,1.659,0,2색보행등+잔여시간표시기,부착식,,,,
0387,99,1.659,1,2색보행등+잔여시간표시기,부착식,,,,
0387,13,1.662,1,4색등,측주식,20190319,4색등,,
0387,13,1.662,1,2색보행등+잔여시간표시기,측주식,20190319,보행등+잔여,,
0387,13,1.665,0,4색등,측주식,20190319,4색등,,
0387,13,1.674,1,4색등,측주식,20190319,4색등X2,,
0387,13,1.674,1,2색보행등+잔여시간표시기,측주식,20190319,보행등+잔여,,
0387,99,1.693,0,2색보행등,단주식,,,,
0387,99,1.7,1,3색등,측주식,,3ea,,
